"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.09262243942717e-07,1.75789371245685,0.719,0.274,0.0132130315456906,"17","2900026A02Rik"
4.11122668433326e-07,2.64870541721056,0.448,0.098,0.0132730953503699,"17","Ccne2"
4.14948667716883e-07,3.40735761534183,0.5,0.052,0.0133966177372396,"17","Foxm1"
4.20883025766018e-07,1.56710804965262,0.698,0.312,0.0135882084868559,"17","Hmgn3"
4.21904342875819e-07,2.34855888038443,0.626,0.126,0.0136211817097458,"17","Siglecg"
4.25530647192812e-07,1.702769771771,0.911,0.446,0.0137382569446199,"17","Ezr"
4.43130246873376e-07,0.57579714207242,0.479,0.276,0.0143064600203069,"17","Rbbp5"
4.44037695903286e-07,2.50259680394796,0.492,0.077,0.0143357570122376,"17","Carhsp1"
4.69690613944713e-07,2.8936664699906,0.7,0.233,0.0151639614712051,"17","Hist1h4d"
4.71304225930816e-07,1.86666928072229,0.626,0.206,0.0152160569341764,"17","Psat1"
4.72606413300336e-07,1.7264092418339,0.696,0.23,0.0152580980534013,"17","Cyb561a3"
4.786768705725e-07,1.0931485653942,0.831,0.481,0.0154540827664332,"17","Pdap1"
4.81685545602195e-07,1.34447642353764,0.779,0.404,0.0155512178397669,"17","Mcm3"
4.92018538515968e-07,0.88529945178283,0.862,0.546,0.015884818515988,"17","Rnps1"
4.93504574895119e-07,1.28371363888935,0.822,0.432,0.0159327952004889,"17","Ethe1"
4.95674279156013e-07,2.54353453253042,0.494,0.099,0.0160028441025519,"17","Cenpl"
5.00805971018524e-07,2.03926520120947,0.872,0.358,0.0161685207743331,"17","Ddx39"
5.04517451329159e-07,3.54415378571112,0.51,0.046,0.0162883459161619,"17","Cdkn1a"
5.5143750594212e-07,3.13919536510287,0.386,0.041,0.0178031598793413,"17","Gpsm2"
5.56836378240004e-07,1.0042122412564,0.605,0.321,0.0179774624714785,"17","Cbx4"
5.64492090177332e-07,0.740031589218871,0.967,0.751,0.0182246271313752,"17","Ywhaq"
5.71116877767726e-07,1.59813518420402,0.915,0.475,0.018438508398731,"17","Cep128"
5.71143351866343e-07,1.22439197000963,0.903,0.561,0.0184393631150049,"17","Lsm6"
5.72998825244855e-07,1.91094493048017,0.808,0.31,0.0184992670730301,"17","Ppil1"
5.88002093098648e-07,1.79180006762385,0.605,0.17,0.0189836475756898,"17","Rmi2"
5.97239308872817e-07,1.55222912542083,0.579,0.211,0.0192818710869589,"17","Dna2"
6.06378334369496e-07,1.06802032143239,0.963,0.708,0.0195769245251192,"17","Cbx1"
6.26156059282261e-07,1.17144415680871,0.862,0.503,0.0202154483739278,"17","Phf5a"
6.38685185977535e-07,2.97185383325816,0.399,0.049,0.0206199512292847,"17","Sapcd1"
6.50794743270831e-07,1.04419851235349,0.626,0.309,0.0210109082864988,"17","Ppwd1"
6.57255861104486e-07,1.40485426455098,0.802,0.373,0.0212195054757583,"17","Map4k2"
6.69224920521316e-07,4.095433206811,0.467,0.039,0.0216059265590307,"17","Hist1h2bj"
6.69448605828105e-07,0.172322613255587,0.733,0.521,0.0216131482391604,"17","Rab11a"
6.81859168837846e-07,2.05741082488019,0.775,0.25,0.0220138232659298,"17","Dpysl2"
6.85139598434191e-07,0.854503478854203,0.944,0.707,0.0221197319354478,"17","Susd1"
7.33699040804648e-07,1.56254909579103,0.938,0.453,0.0236874735323781,"17","Mtss1"
7.38209478877465e-07,2.91523393957928,0.521,0.074,0.023833093025559,"17","Cdca5"
8.15727984238992e-07,2.64585143495297,0.601,0.133,0.0263357779711559,"17","Hist1h1d"
8.25849688076695e-07,3.99829886670143,0.339,0.021,0.0266625571795561,"17","Hist1h2af"
8.46865698581702e-07,1.90717916970253,0.899,0.589,0.0273410590787103,"17","Pcna"
8.56181767902399e-07,1.42932441008131,0.831,0.417,0.027641828376729,"17","Mcm7"
8.92450710308589e-07,4.49196332831602,0.388,0.024,0.0288127711823128,"17","Bok"
9.47067964479975e-07,1.93943700531825,0.663,0.193,0.030576089233236,"17","Pold1"
9.71097232841966e-07,1.38402718085568,0.831,0.397,0.0313518741623029,"17","Ncaph2"
9.72196385492522e-07,1.5575593675611,0.721,0.299,0.0313873603056261,"17","Ppih"
1.0182258290361e-06,0.254838145611905,0.857,0.621,0.0328734208904305,"17","Arhgdia"
1.04406942336232e-06,0.860462261291536,0.612,0.329,0.0337077813332525,"17","Sdhaf2"
1.04935548198171e-06,0.919121554092852,0.773,0.488,0.0338784417357794,"17","Rbmxl1"
1.07226789880123e-06,1.09922677167731,0.986,0.772,0.0346181691127976,"17","Wdfy4"
1.09689304639152e-06,0.926191839485234,0.924,0.632,0.0354131920027503,"17","Cox6a1"
1.16390576252929e-06,1.1547285885598,0.837,0.491,0.037576697543258,"17","Bcr"
1.22471489648607e-06,0.776819982835644,0.855,0.558,0.0395399204330526,"17","Eny2"
1.28225535309564e-06,1.11139912015082,0.893,0.578,0.0413976140746926,"17","Ctdspl2"
1.28782343607722e-06,1.78127445465139,0.574,0.191,0.0415773796337531,"17","Rdm1"
1.31129689936759e-06,1.68102554125744,0.742,0.314,0.0423352203960826,"17","Orc6"
1.3279663961178e-06,1.52031609531826,0.926,0.548,0.0428733950986633,"17","Trak1"
1.36292745382899e-06,1.18747695617264,0.866,0.533,0.0440021128468689,"17","Mob4"
1.36632770663601e-06,1.71548315782897,0.736,0.143,0.0441118900087437,"17","Gm26740"
1.42738196876264e-06,1.96569446837023,0.909,0.558,0.0460830268615019,"17","Jpt1"
1.44965713464316e-06,1.1618824303935,0.932,0.597,0.0468021805919543,"17","Tapt1"
1.47655986731899e-06,1.90789571747782,0.488,0.131,0.0476707353163935,"17","Lmnb2"
1.49247480814527e-06,1.04675836277237,0.719,0.406,0.0481845491809702,"17","Gclc"
1.5061889796652e-06,2.78434039560283,0.692,0.151,0.0486273112084911,"17","Kif18a"
1.51548539239059e-06,1.39115183211212,0.81,0.435,0.0489274458933302,"17","Hmgb3"
1.55070894392147e-06,1.61752765878294,0.806,0.383,0.0500646382545046,"17","Desi1"
1.56641073961108e-06,3.96582894970521,0.417,0.031,0.0505715707283436,"17","Cdc25c"
1.58785241808812e-06,0.669111303610247,0.514,0.281,0.0512638153179751,"17","Abcf2"
1.61792559135464e-06,1.28396464881829,0.94,0.619,0.0522347277168847,"17","Banf1"
1.67317961140362e-06,0.581658557708222,0.936,0.697,0.054018603754166,"17","Zfp91"
1.67644557054558e-06,0.908951670887724,0.775,0.405,0.0541240452450642,"17","Mrpl28"
1.73093920011076e-06,2.88960544522048,0.572,0.094,0.0558833720755757,"17","Cip2a"
1.76193861115831e-06,1.28718172280576,0.479,0.169,0.056884188061246,"17","Mis18a"
1.88185207914201e-06,2.76495166418232,0.57,0.098,0.0607555943751,"17","Ticrr"
1.91681045336832e-06,1.37955863855503,0.961,0.603,0.0618842254869963,"17","Hnrnpul1"
1.92109019208131e-06,0.885120758520522,0.921,0.674,0.0620223968513452,"17","Gab2"
2.01625611965078e-06,1.76516789877555,0.725,0.252,0.0650948288229255,"17","Tex30"
2.08960235656682e-06,4.22445158262795,0.612,0.061,0.0674628120817599,"17","Hist1h2ab"
2.11975293742471e-06,1.6283985510735,0.886,0.467,0.0684362235847567,"17","Dnmt1"
2.17230859505995e-06,1.49608037087251,0.548,0.208,0.0701329829915106,"17","Mfsd4a"
2.19422454153453e-06,0.531939472645302,0.835,0.601,0.0708405393234422,"17","Smg7"
2.3228953533588e-06,2.81398509188022,0.81,0.379,0.0749946764831889,"17","Hist1h1e"
2.3528261585613e-06,0.773850306711406,0.874,0.624,0.0759609925291516,"17","Ubac2"
2.37240396711556e-06,1.22188445793352,0.731,0.341,0.0765930620783257,"17","Mpp1"
2.43032819814666e-06,0.67635656878668,0.905,0.599,0.0784631458771649,"17","Mapre1"
2.44008844594302e-06,1.17011936994053,0.936,0.667,0.0787782554772704,"17","Nol7"
2.47806351593445e-06,0.715764608069992,0.707,0.409,0.0800042806119436,"17","Ripor1"
2.52444199446565e-06,0.997249596743676,0.897,0.623,0.0815016097913234,"17","Ssrp1"
2.55856731713492e-06,1.18790232414911,0.845,0.483,0.082603345833701,"17","Cd93"
2.61157331672734e-06,0.780826559125256,0.905,0.649,0.0843146445305421,"17","Dnajc8"
2.64958022936276e-06,3.680682431671,0.5,0.048,0.0855416977049769,"17","Prr11"
2.7204119509749e-06,4.80111815029184,0.498,0.022,0.0878284998372247,"17","Sapcd2"
2.7663215991056e-06,2.05321379304282,0.527,0.129,0.0893106928271243,"17","Cdc45"
2.77753558594882e-06,1.00737343198348,0.955,0.721,0.0896727363923578,"17","Pds5b"
2.8172588035555e-06,1.81679534488972,0.424,0.112,0.0909552004727892,"17","Msh5"
